Unique ID;Leave blank for national;Leave blank for city-wide;holiday / crowd / weather / closure / event;Short descriptive name;MM-DD;MM-DD;daily / weekly / monthly / seasonal / yearly;info / warning / avoid;What this means for scheduling;What the AI should do
constraint_id;city_id;poi_id;type;title;start_date;end_date;recurrence_pattern;severity;impact;suggested_action
C001;;;holiday;Golden Week;10-01;10-07;yearly;avoid;All major attractions at maximum capacity. 2-3x normal crowds. Ticket shortages.;Warn user. Suggest less popular POIs. Emphasize advance booking.
C002;;;holiday;Spring Festival;01-26;02-04;yearly;warning;Many restaurants and small shops closed. Major attractions open but crowded. Transport fully booked.;Confirm POI opening hours. Book transport 30+ days ahead.
C003;BJ;;weather;Beijing Summer Heat;07-01;08-31;seasonal;warning;35°C+ common. Outdoor activities exhausting. Air quality may be poor.;Schedule outdoor POIs early morning. Add indoor alternatives. Include hydration breaks.
C005;SH;;weather;Shanghai Plum Rain Season;06-15;07-15;seasonal;warning;Continuous light rain and high humidity. Outdoor plans unreliable.;Prioritize indoor POIs. Add rain backup options. Include umbrella reminder.
C006;CQ;;weather;Chongqing Summer Furnace;07-01;09-30;seasonal;warning;38-42°C common. Humid heat causes outdoor fatigue quickly. Afternoon walking difficult. Outdoor activities before 10am or after 6pm only.;Schedule outdoor POIs before 10am or after 6pm. Prioritize indoor/rest stops midday.
C007;CQ;;weather;Chongqing Fog Season;11-01;02-28;seasonal;info;"Frequent fog reduces visibility. Night skyline views may be obscured. The ""Mountain City"" nickname partly comes from this.";Warn users that night views are weather-dependent. Suggest backup indoor plans.
C008;CQ;;weather;Chongqing Rainstorm Season;05-01;06-30;seasonal;info;Sudden heavy rain and slippery stairs common. River views and night photography may be affected.;Add indoor backup POIs. Warn users about slippery hillside roads and stairs.
C009;CQ;CQ001;crowd;Hongya Cave Peak Hours;;;weekly;warning;Fri-Sun evenings (7-10pm) extremely crowded. Bridge viewing area packed shoulder to shoulder.;Suggest weekday evenings. Or go at 6pm before peak. View from Qiansi Gate Bridge north end is less crowded.
C010;CQ;CQ002;event;Jiefangbei New Year Countdown;12-31;01-01;yearly;warning;Extremely dense crowds around Jiefangbei and nearby metro stations. Temporary crowd control measures possible.;Recommend early arrival, metro transport, and alternative night-view spots.
C011;BJ;BJ001;event;music festival;01-01;01-05;yearly;warning;;
C012;XA;XA004;weather;Xi’an Summer Heat;07-01;08-31;seasonal;warning;35°C+ common. Long outdoor walks between attractions may become exhausting. Midday sunlight can be intense.;Schedule outdoor POIs early morning or evening. Prioritize museums and indoor stops at noon.Include hydration reminders.
C013;XA;XA002;closure;Terracotta Warriors Monday Closure;;;weekly;avoid;The museum is closed on Mondays. Visitors may need to adjust itinerary plans.;Avoid scheduling visits on Mondays. Recommend alternative museums or historical attractions instead.
C014;XA;XA009;closure;Xi’an Museum Tuesday Closure;;;weekly;avoid;The museum is closed on Tuesdays. Visitors may need to adjust itinerary plans.;Avoid scheduling visits on Tuesdays. Recommend alternative museums or nearby outdoor attractions instead.
C015;;;holiday;Summer Vacation Travel Peak;06-01;08-31;yearly;warning;Major attractions, museums, and transportation hubs become significantly more crowded during summer vacation. Queue times and ticket demand may increase.;Recommend advance reservations and early morning visits. Avoid peak afternoon hours when possible.
C016;;;holiday;Labor Day Golden Week;05-01;05-05;yearly;avoid;Major attractions experience extremely high visitor density. Transportation, hotels, and restaurants may become overloaded.;Warn users about heavy crowds and long waiting times. Recommend less crowded alternatives and early departures.
C017;XA;XA003;weather;Mount Huashan Snowfall;12-01;02-28;seasonal;warning;Mountain paths may become icy and slippery. Visibility and hiking safety may be affected during snowfall.;Recommend checking weather conditions in advance. Suggest cable car routes and winter hiking equipment.
C018;XA;XA002;crowd;Terracotta Warriors Peak Crowd;;;daily;warning;Heavy crowds are common between 9:00–14:00, especially on weekends and public holidays. Morning entry queues may exceed 1–2 hours during peak seasons.;Recommend early morning weekday visits and advance reservations. Avoid national holidays when possible.
C019;XA;XA001;crowd;Great Tang All Day Mall Peak Crowd;;;daily;warning;Visitor density increases significantly between 19:00–22:00, especially on weekends and public holidays. Walking speed may become very slow during peak evening hours.;Recommend weekday evening visits and public transportation. Arrive before peak hours for better experience.
C20;BJ;BJ006;weather;Badaling Great Wall Winter Gale and Snow;12-01;02-28;seasonal;warning;Mountain top temperatures drop severely, with strong winds or icy steps. Cable cars may temporarily close due to safety reasons.;Recommend checking the weather forecast and cable car status in advance. Advise users to dress in heavy winter gear and wear anti-slip shoes.
C21;BJ;BJ017;crowd;Shichahai Evening Peak;;;daily;warning;Visitor density increases significantly between 18:00–22:00, especially on weekends. Walking speed in narrow hutongs becomes very slow.;Recommend weekday afternoon visits for shopping and exploring hutongs, or using public transportation (Subway Line 6/8) to avoid heavy traffic jams.
C22;BJ;;event;Beijing Marathon Traffic Control;10-18;10-18;yearly;avoid;Major roads from Tiananmen Square to the Olympic Park (Bird's Nest/Water Cube) will face temporary traffic closures. Public buses and subways near the route will be extremely crowded or bypass certain stations.;Advise users to avoid traveling by taxi or bus in the central axis area during the morning.
C23;BJ;BJ044;closure;Buddhist Temples Dress Code;;;daily;avoid;Strict religious dress codes are enforced. Wearing inappropriate clothing (off-shoulder shirts, ripped jeans above the knee, transparent clothing) results in immediate entry refusal.;"Instruct the AI to check the user's daily itinerary. If a temple POI is included, generate a smart reminder: ""Please ensure your outfit covers shoulders and knees today to avoid entry denial."""
C24;SH;SH001;crowd;The Bund Peak Hours;;;daily;warning;The Bund becomes very crowded between 19:00–21:00, especially on weekends and public holidays.;Recommend SH048 (North Bund Riverside Green Space) during peak hours for a less crowded skyline view.
C25;SH;;weather;Shanghai Summer Heat;07-01;08-31;seasonal;warning;35°C+ temperatures and high humidity common. Long outdoor walks may become exhausting.;Schedule outdoor POIs early morning or evening. Prioritize indoor attractions in the afternoon.
C26;SH;SH038;weather;Binjiang Winter Wind;12-01;02-28;seasonal;info;Strong riverside winds during winter may reduce comfort for long outdoor walks.;Reduce long outdoor stays and recommend nearby indoor attractions if needed.
C27;;;food_time;Breakfast Restaurants Before 10 AM;;;daily;info;Restaurants that open before 10:00 can be considered suitable breakfast options.;For breakfast time slots, recommend restaurants with opening hours before 10:00.
C28;;;;Idle Time Optimization;;;daily;info;Fills unplanned gaps in the itinerary to prevent tourist disorientation, optimizing local neighborhood merchant placement (cafes, retail) within a 15-minute walking radius.;It is appropriate to provide a reminder when the user ends the trip early. The content is that we suggest that the user can spend time in nearby cafes and shops.
